OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
GQ351173.1.1509	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured bacterium	NA	NA
GQ351178.1.1504	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	J8P41000-1F04	uncultured bacterium	NA
GQ351224.1.1528	Bacteria	Planctomycetes	Pla4 lineage	uncultured bacterium	NA	NA	NA
GQ351238.1.1516	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	NA	NA	NA	NA
GQ351248.1.1469	Bacteria	Planctomycetes	OM190	uncultured bacterium	NA	NA	NA
GQ351249.1.1497	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	uncultured bacterium	NA
GQ351254.1.1487	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9 marine group	uncultured bacterium	NA
GQ354964.1.1463	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GQ354995.1.1498	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	uncultured Chloroflexi bacterium
GQ356172.1.1288	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured planctomycete
GQ356188.1.1336	Bacteria	PAUC34f	uncultured planctomycete	NA	NA	NA	NA
GQ356946.1.1480	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	uncultured bacterium
GQ356951.1.1491	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	uncultured	uncultured bacterium
GQ356986.1.1526	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1	uncultured bacterium
GQ357014.1.1479	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	uncultured bacterium
GQ357017.1.1513	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured	uncultured bacterium
GQ357031.1.1483	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured bacterium
GQ358440.1.1359	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	uncultured Erysipelotrichaceae bacterium
GQ359327.1.1334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	Oceanicola sp. YCWB25
GQ360030.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	uncultured bacterium
GQ365715.1.1451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea sp. AY-2
GQ375260.1.1487	Bacteria	Cyanobacteria	ML635J-21	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA
GQ375261.1.1500	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5) clade	uncultured gamma proteobacterium
GQ375267.1.1488	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
GQ375270.1.1510	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
GQ375271.1.1521	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
GQ375274.1.1522	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
GQ375275.1.1520	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
GQ375276.1.1509	Bacteria	Marinimicrobia (SAR406 clade)	uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	NA
